Chicken TantanMen, 9.5/10, Ippudo - Jakarta, Elle787
Pork TantanMen, 8.5/10, Ippudo - Jakarta, VerraTan10
Chicken Shoyu, 7/10, Ippudo - Jakarta, Gerald2009

Tonkotsu Ramen, 9/10, Menya Sakura - Jakarta, Nairobiii
ToriShio Ramen, 8/10, Menya Sakura - Jakarta, Jevalesta99
Tori Shoyu Ramen, 8.5/10, Menya Sakura - Jakarta, Helsinki_88

Curry Ramen, 7/10, Nanami Ramen - Jakarta, YulianaC_1998
Shoyu Ramen, 5/10, Nanami Ramen - Jakarta, Bo098
Shio Ramen, 4/10, Nanami Ramen - Jakarta, 1208_Keynandra
Spicy MisoRamen, 7/10, Nanami Ramen - Jakarta, Zeinan77

Toripaitan Ramen Shio Pedas, 6/10, Seirock Ya - Jakarta, Bebebebe
Niku Mori Paitan Shio, 7/10, Seirock Ya - Jakarta, Ilvianti78
Toripaitan Ramen Shio Special, 7/10, Seirock Ya - Jakarta, Christianty99
Toripaitan Ramen Shio, 5/10, Seirock Ya - Jakarta, Itsmestella

Curry Ramen, 4/10, Gokana Ramen & Teppan - Bandung, Fufi_777
Beef Curry Ramen, 5/10, Gokana Ramen & Teppan - Bandung, Raymund99
Katsu Curry Ramen, 4.5/10, Gokana Ramen & Teppan - Bandung, Doniq99
Chicken Curry Ramen, 5/10, Gokana Ramen & Teppan - Bandung, Ibiza4

Bari-Uma, 8/10, Bariuma Ramen - Jakarta, BellezaP10
Kara-Uma, 9/10, Bariuma Ramen - Jakarta, Piuma99
YasaiShoyu-Uma, 9/10, Bariuma Ramen - Jakarta, Raqel98
Chashu-Umi, 9/10, Bariuma Ramen - Jakarta, Biarminami
Zeitaku-Uma, 8/10, Bariuma Ramen - Jakarta, Giannybella98

Tamago Ramen, 9/10, Marutama Ramen - Jakarta, Bestbebes
Negi Ramen, 8/10, Marutama Ramen - Jakarta, Hiahia96
Karashi Ramen, 9/10, Marutama Ramen - Jakarta, Geanmy10
Zenbu Ramen, 8/10, Marutama Ramen - Jakarta, Tanmen99
Kakuni Ramen, 9/10, Marutama Ramen - Jakarta, Gesdieu

ToriPaitan Ramen, 7/10, Ramen 38 Sanpachi - Jakarta, Niamarina88
ToriPaitan Chashu, 7/10, Ramen 38 Sanpachi - Jakarta, Hijraimasaid
ToriPaitan Jigoku, 6/10, Ramen 38 Sanpachi - Jakarta, Mimomimo
Shiro/White, 7/10, Ramen 38 Sanpachi - Jakarta, Kinarabu80
Aka/Red, 7/10, Ramen 38 Sanpachi - Jakarta, Angieana78

Miso Ramen, 7/10, Yoiko Ramen - Jakarta, Tuturuuu
Shio Ramen, 6/10, Yoiko Ramen - Jakarta, Jessicaaa
Tan Men, 8/10, Yoiko Ramen - Jakarta, Bebeon17
Tonkotsu Ramen, 7/10, Yoiko Ramen - Jakarta, Ingamiv99
Goma Tonkotsu Ramen, 6/10, Yoiko Ramen - Jakarta, Chelsean10

Chicken Teriyaki Ramen White, 8/10, Menya Musashi Bukotsu - Jakarta, Elvanazia
Chicken Katsu Red Ramen, 9/10, Menya Musashi Bukotsu - Jakarta, Nuyyyy98
Ebi Katsu Ramen Black, 8/10, Menya Musashi Bukotsu - Jakarta, Miaclara89
Seafood Tomyun Ramen, 9/10, Menya Musashi Bukotsu - Jakarta, Donmochino


